id,word,translation,gender,status
71,minute,минута,feminine,FALSE
72,part,часть,feminine,FALSE
73,person,человек,masculine,FALSE
74,drink,напиток,masculine,FALSE
75,change,изменение,neuter,FALSE
76,hit,удар,masculine,FALSE
77,check,чек,masculine,FALSE
78,music,музыка,feminine,FALSE
79,inside,внутрь,masculine,FALSE
80,sleep,сон,masculine,FALSE
81,mine,моя,feminine,FALSE
82,deal,сделка,feminine,FALSE
83,point,точка,feminine,FALSE
84,body,тело,neuter,FALSE
85,dear,дорогой,masculine,FALSE
86,chance,шанс,masculine,FALSE
87,close,близость,feminine,FALSE
88,party,вечеринка,feminine,FALSE
89,daughter,дочь,feminine,FALSE
90,word,слово,neuter,FALSE
91,fun,веселье,neuter,FALSE
92,number,номер,masculine,FALSE
93,story,рассказ,masculine,FALSE
94,set,набор,masculine,FALSE
95,wish,желание,neuter,FALSE
96,husband,муж,masculine,FALSE
97,fire,огонь,masculine,FALSE
98,fight,бой,masculine,FALSE
99,rest,отдых,masculine,FALSE
100,moment,момент,masculine,FALSE
101,week,неделя,feminine,FALSE
102,stand,стенд,masculine,FALSE
103,game,игра,feminine,FALSE
104,cut,порез,masculine,FALSE
105,sister,сестра,feminine,FALSE
106,child,ребенок,masculine,FALSE
107,side,сторона,feminine,FALSE
108,blood,кровь,feminine,FALSE
109,truth,правда,feminine,FALSE
110,lady,дама,feminine,FALSE
111,shot,выстрел,masculine,FALSE
112,war,война,feminine,FALSE
113,break,перерыв,masculine,FALSE
114,walk,прогулка,feminine,FALSE
115,reason,причина,feminine,FALSE
116,trouble,беда,feminine,FALSE
117,city,город,masculine,FALSE
118,town,городок,masculine,FALSE
119,trust,доверие,neuter,FALSE
120,question,вопрос,masculine,FALSE
121,office,офис,masculine,FALSE
122,half,половина,feminine,FALSE
123,welcome,приветствие,neuter,FALSE
124,couple,пара,feminine,FALSE
125,hurry,спешка,feminine,FALSE
126,honey,мед,masculine,FALSE
127,power,власть,feminine,FALSE
128,bed,кровать,feminine,FALSE
129,front,передок,masculine,FALSE
130,answer,ответ,masculine,FALSE
131,gun,пистолет,masculine,FALSE
132,line,линия,feminine,FALSE
133,team,команда,feminine,FALSE
134,news,новость,feminine,FALSE
135,captain,капитан,masculine,FALSE
136,hate,ненависть,feminine,FALSE
137,dog,собака,feminine,FALSE
138,food,еда,feminine,FALSE
139,light,свет,masculine,FALSE
140,order,заказ,masculine,FALSE
141,country,страна,feminine,FALSE
142,pick,выбор,masculine,FALSE
143,fact,факт,masculine,FALSE
144,black,черный,masculine,FALSE
145,boss,босс,masculine,FALSE
146,cause,причина,feminine,FALSE
147,dinner,ужин,masculine,FALSE
148,promise,обещание,neuter,FALSE
149,plan,план,masculine,FALSE
150,sort,вид,masculine,FALSE
151,book,книга,feminine,FALSE
152,hour,час,masculine,FALSE
153,uncle,дядя,masculine,FALSE
154,safe,сейф,masculine,FALSE
155,shoot,выстрел,masculine,FALSE
156,touch,прикосновение,neuter,FALSE
157,company,компания,feminine,FALSE
158,past,прошлое,neuter,FALSE
159,bitch,сука,feminine,FALSE
160,sound,звук,masculine,FALSE
161,hair,волосы,"plural, masculine",FALSE
162,human,человек,masculine,FALSE
163,drive,вождение,neuter,FALSE
164,luck,удача,feminine,FALSE
165,top,вершина,feminine,FALSE
166,win,победа,feminine,FALSE
167,control,управление,neuter,FALSE
168,cold,холод,masculine,FALSE
169,air,воздух,masculine,FALSE
170,master,мастер,masculine,FALSE
171,dance,танец,masculine,FALSE
172,sex,секс,masculine,FALSE
173,others,другие,"plural, both genders",FALSE
174,hospital,больница,feminine,FALSE
175,street,улица,feminine,FALSE
176,murder,убийство,neuter,FALSE
177,lie,ложь,feminine,FALSE
178,dream,мечта,feminine,FALSE
179,catch,поимка,feminine,FALSE
180,sweet,сладость,feminine,FALSE
181,sense,смысл,masculine,FALSE
182,bet,ставка,feminine,FALSE
183,voice,голос,masculine,FALSE
184,sign,знак,masculine,FALSE
185,quiet,тишина,feminine,FALSE
186,felt,чувство,neuter,FALSE
187,beat,победа,feminine,FALSE
188,return,возвращение,neuter,FALSE
189,coffee,кофе,masculine,FALSE
190,date,свидание,neuter,FALSE
191,pull,тяжело,neuter,FALSE
192,secret,секрет,masculine,FALSE
193,fault,вина,feminine,FALSE
194,fall,падение,neuter,FALSE
195,song,песня,feminine,FALSE
196,calm,спокойствие,neuter,FALSE
197,road,дорога,feminine,FALSE
198,drop,капля,feminine,FALSE
199,future,будущее,neuter,FALSE
200,throw,бросок,masculine,FALSE
201,step,шаг,masculine,FALSE
202,piece,кусок,masculine,FALSE
203,picture,картина,feminine,FALSE
204,land,земля,feminine,FALSE
205,wonder,удивление,neuter,FALSE
206,worth,стоимость,feminine,FALSE
207,president,президент,masculine,FALSE
208,eye,глаз,masculine,FALSE
209,dude,парень,masculine,FALSE
210,state,состояние,neuter,FALSE
211,figure,фигура,feminine,FALSE
212,act,акт,masculine,FALSE
213,law,закон,masculine,FALSE
214,kiss,поцелуй,masculine,FALSE
215,works,работы,"plural, feminine",FALSE
216,report,отчет,masculine,FALSE
217,pain,боль,feminine,FALSE
218,pass,проход,masculine,FALSE
219,wake,пробуждение,neuter,FALSE
220,general,генерал,masculine,FALSE
221,ship,корабль,masculine,FALSE
222,choice,выбор,masculine,FALSE
223,class,класс,masculine,FALSE
224,officer,офицер,masculine,FALSE
225,mistake,ошибка,feminine,FALSE
226,chief,начальник,masculine,FALSE
227,age,возраст,masculine,FALSE
228,mouth,рот,masculine,FALSE
229,finish,финиш,masculine,FALSE
230,clothes,одежда,feminine,FALSE
231,ride,поездка,feminine,FALSE
232,birthday,день рождения,masculine,FALSE
233,dark,темнота,feminine,FALSE
234,system,система,feminine,FALSE
235,film,фильм,masculine,FALSE
236,court,суд,masculine,FALSE
237,movie,фильм,masculine,FALSE
238,month,месяц,masculine,FALSE
239,wear,ношение,neuter,FALSE
240,train,поезд,masculine,FALSE
241,hotel,отель,masculine,FALSE
242,evidence,улика,feminine,FALSE
243,security,безопасность,feminine,FALSE
244,information,информация,feminine,FALSE
245,bag,сумка,feminine,FALSE
246,attack,атака,feminine,FALSE
247,round,раунд,masculine,FALSE
248,blue,синий,masculine,FALSE
249,station,станция,feminine,FALSE
250,table,стол,masculine,FALSE
251,message,сообщение,neuter,FALSE
252,history,история,feminine,FALSE
253,fool,дурак,masculine,FALSE
254,buddy,приятель,masculine,FALSE
255,floor,пол,masculine,FALSE
256,sun,солнце,neuter,FALSE
257,handle,ручка,feminine,FALSE
258,army,армия,feminine,FALSE
259,marriage,брак,masculine,FALSE
260,letter,письмо,neuter,FALSE
261,attention,внимание,neuter,FALSE
262,peace,мир,masculine,FALSE
263,situation,ситуация,feminine,FALSE
264,middle,середина,feminine,FALSE
265,rock,скала,feminine,FALSE
266,test,тест,masculine,FALSE
267,lead,свинец,masculine,FALSE
268,club,клуб,masculine,FALSE
269,fear,страх,masculine,FALSE
270,present,настоящее,neuter,FALSE
271,idiot,идиот,masculine,FALSE
272,box,коробка,feminine,FALSE
273,ball,мяч,masculine,FALSE
274,group,группа,feminine,FALSE
275,boat,лодка,feminine,FALSE
276,count,счет,masculine,FALSE
277,bastard,ублюдок,masculine,FALSE
278,crime,преступление,neuter,FALSE
279,key,ключ,masculine,FALSE
280,force,сила,feminine,FALSE
281,horse,лошадь,feminine,FALSE
282,lunch,обед,masculine,FALSE
283,american,американец,masculine,FALSE
284,paper,бумага,feminine,FALSE
285,charge,обвинение,neuter,FALSE
286,surprise,сюрприз,masculine,FALSE
287,space,пространство,neuter,FALSE
288,fell,падение,neuter,FALSE
289,honor,честь,feminine,FALSE
290,accident,авария,feminine,FALSE
291,fish,рыба,feminine,FALSE
292,bar,бар,masculine,FALSE
293,ground,земля,feminine,FALSE
294,government,правительство,neuter,FALSE
295,bank,банк,masculine,FALSE
296,cover,обложка,feminine,FALSE
297,major,майор,masculine,FALSE
298,hide,прятки,"plural, masculine/feminine",FALSE
299,stick,палка,feminine,FALSE
300,sea,море,neuter,FALSE
301,tea,чай,masculine,FALSE
302,area,район,masculine,FALSE
303,dress,платье,neuter,FALSE
304,service,сервис,masculine,FALSE
305,trip,поездка,feminine,FALSE
306,radio,радио,neuter,FALSE
307,blow,удар,masculine,FALSE
308,star,звезда,feminine,FALSE
309,record,запись,feminine,FALSE
310,offer,предложение,neuter,FALSE
311,prison,тюрьма,feminine,FALSE
312,soul,душа,feminine,FALSE
313,list,список,masculine,FALSE
314,gold,золото,neuter,FALSE
315,afternoon,послеобед,masculine,FALSE
316,agent,агент,masculine,FALSE
317,detective,детектив,masculine,FALSE
318,fix,ремонт,masculine,FALSE
319,respect,уважение,neuter,FALSE
320,public,публика,feminine,FALSE
321,girlfriend,подруга,feminine,FALSE
322,drunk,пьяница,"masculine/feminine (when used as a noun, it can refer to a person of either gender)",FALSE
323,brain,мозг,masculine,FALSE
324,cell,клетка,feminine,FALSE
325,mess,беспорядок,masculine,FALSE
326,smell,запах,masculine,FALSE
327,fly,муха,feminine,FALSE
328,killer,убийца,"masculine/feminine (when used as a noun, it depends on the gender of the person)",FALSE
329,scene,сцена,feminine,FALSE
330,card,карточка,feminine,FALSE
331,english,английский,masculine (when used as a noun referring to the language),FALSE
332,church,церковь,feminine,FALSE
333,ice,лед,masculine,FALSE
334,window,окно,neuter,FALSE
335,share,доля,feminine,FALSE
336,laugh,смех,masculine,FALSE
337,lieutenant,лейтенант,masculine,FALSE
338,cry,плач,masculine,FALSE
339,mum,мама,feminine,FALSE
340,visit,визит,masculine,FALSE
341,seat,место,neuter,FALSE
342,teacher,учитель,"masculine, учительница",FALSE
343,relationship,отношение,neuter,FALSE
344,pleasure,удовольствие,neuter,FALSE
345,camera,камера,feminine,FALSE
346,college,колледж,masculine,FALSE
347,judge,судья,masculine/feminine (depends on the person's gender),FALSE
348,position,позиция,feminine,FALSE
349,sake,дело,neuter,FALSE
350,boyfriend,парень,masculine,FALSE
351,wall,стена,feminine,FALSE
352,private,частное,"neuter (as an abstract noun), частный сектор",FALSE
353,stop,остановка,feminine,FALSE
354,french,французский,masculine (when used as a noun referring to the language),FALSE
355,art,искусство,neuter,FALSE
356,machine,машина,feminine,FALSE
357,green,зелень,feminine,FALSE
358,cop,полицейский,masculine,FALSE
359,wine,вино,neuter,FALSE
360,apartment,квартира,feminine,FALSE
361,village,деревня,feminine,FALSE
362,congratulations,поздравление,neuter,FALSE
363,jail,тюремное заключение,neuter,FALSE
364,joke,шутка,feminine,FALSE
365,evil,зло,neuter,FALSE
366,lawyer,адвокат,masculine/feminine (depends on the person's gender),FALSE
367,field,поле,neuter,FALSE
368,contact,контакт,masculine,FALSE
369,store,магазин,masculine,FALSE
370,shop,лавка,"feminine (if referring to a small shop), also магазин",FALSE
371,professor,профессор,"masculine, профессорша",FALSE
372,madam,мадам,feminine,FALSE
373,doubt,сомнение,neuter,FALSE
374,plane,самолет,masculine,FALSE
375,cash,наличные,"plural, neuter (money/cash is generally used in the plural)",FALSE
376,island,остров,masculine,FALSE
377,cat,кот,"masculine, кошка",FALSE
378,decision,решение,neuter,FALSE
379,beer,пиво,neuter,FALSE
380,difference,разница,feminine,FALSE
381,push,толчок,masculine,FALSE
382,south,юг,masculine,FALSE
383,gift,подарок,masculine,FALSE
384,glass,стакан,masculine,FALSE
385,tree,дерево,neuter,FALSE
386,bear,медведь,masculine,FALSE
387,north,север,masculine,FALSE
388,bus,автобус,masculine,FALSE
389,partner,партнер,"masculine, партнерша",FALSE
390,grab,хватка,feminine,FALSE
391,victim,жертва,feminine,FALSE
392,computer,компьютер,masculine,FALSE
393,truck,грузовик,masculine,FALSE
394,reach,досягаемость,feminine,FALSE
395,board,доска,feminine,FALSE
396,fat,жир,masculine,FALSE
397,planet,планета,feminine,FALSE
398,search,поиск,masculine,FALSE
399,wind,ветер,masculine,FALSE
400,arrest,арест,masculine,FALSE
401,jump,прыжок,masculine,FALSE
402,support,поддержка,feminine,FALSE
403,magic,магия,feminine,FALSE
404,crap,дерьмо,neuter,FALSE
405,kitchen,кухня,feminine,FALSE
406,summer,лето,neuter,FALSE
407,patient,пациент,"masculine, пациентка",FALSE
408,aunt,тетя,feminine,FALSE
409,experience,опыт,masculine,FALSE
410,heaven,рай,masculine,FALSE
411,river,река,feminine,FALSE
412,knock,стук,masculine,FALSE
413,escape,побег,masculine,FALSE
414,address,адрес,masculine,FALSE
415,foot,ступня,feminine,FALSE
416,moon,луна,feminine,FALSE
417,mate,товарищ,masculine,FALSE
418,match,матч,masculine,FALSE
419,final,финал,masculine,FALSE
420,smoke,дым,masculine,FALSE
421,blame,вина,feminine,FALSE
422,press,пресса,"feminine (when referring to the media), also пресс",FALSE
423,smile,улыбка,feminine,FALSE
424,type,тип,masculine,FALSE
425,mission,миссия,feminine,FALSE
426,favor,одолжение,neuter,FALSE
427,action,действие,neuter,FALSE
428,duty,обязанность,feminine,FALSE
429,price,цена,feminine,FALSE
430,guard,охранник,"masculine, охранница",FALSE
431,risk,риск,masculine,FALSE
432,notice,уведомление,neuter,FALSE
433,enemy,враг,masculine,FALSE
434,kick,удар,masculine (noun referring to a kick can also be удар),FALSE
435,race,гонка,feminine,FALSE
436,suit,костюм,masculine,FALSE
437,fit,примерка,feminine,FALSE
438,director,директор,"masculine, директриса",FALSE
439,spot,место,neuter,FALSE
440,cross,крест,masculine,FALSE
441,arm,рука,feminine,FALSE
442,upstairs,верх,"masculine (when used as ""upstairs,"" though верхняя ступенька",FALSE
443,chicken,курица,feminine,FALSE
444,department,отдел,masculine,FALSE
445,hero,герой,masculine,FALSE
446,gas,газ,masculine,FALSE
447,sergeant,сержант,masculine,FALSE
448,low,низ,masculine,FALSE
449,leg,нога,feminine,FALSE
450,taste,вкус,masculine,FALSE
451,waste,отходы,"plural, masculine",FALSE
452,west,запад,masculine,FALSE
453,bunch,связка,"feminine (for a bunch of keys for example), also пучок",FALSE
454,battle,битва,feminine,FALSE
455,study,учеба,feminine,FALSE
456,mention,упоминание,neuter,FALSE
457,bell,колокол,masculine,FALSE
458,stage,сцена,feminine,FALSE
459,hole,дыра,feminine,FALSE
460,lock,замок,masculine,FALSE
461,weapon,оружие,neuter,FALSE
462,energy,энергия,feminine,FALSE
463,treat,угощение,neuter,FALSE
464,burn,ожог,masculine,FALSE
465,form,форма,feminine,FALSE
466,sky,небо,neuter,FALSE
467,breakfast,завтрак,masculine,FALSE
468,band,группа,feminine (for a band of musicians),FALSE
469,track,трек,masculine,FALSE
470,spirit,дух,masculine,FALSE
471,nose,нос,masculine,FALSE
472,favorite,любимый,"masculine, любимица",FALSE
473,memory,память,feminine,FALSE
474,laughter,смех,masculine,FALSE
475,roll,рулон,masculine,FALSE
476,witness,свидетель,"masculine, свидетельница",FALSE
477,double,двойник,masculine,FALSE
478,bathroom,ванная,feminine (short for ванная комната,FALSE
479,build,строительство,neuter,FALSE
480,bomb,бомба,feminine,FALSE
481,pressure,давление,neuter,FALSE
482,flight,полет,masculine,FALSE
483,interest,интерес,masculine,FALSE
484,throat,горло,neuter,FALSE
485,cost,стоимость,feminine,FALSE
486,danger,опасность,feminine,FALSE
487,asshole,мудак,masculine (vulgar term),FALSE
488,neck,шея,feminine,FALSE
489,suspect,подозреваемый,"masculine, подозреваемая",FALSE
490,bottle,бутылка,feminine,FALSE
491,beauty,красота,feminine,FALSE
492,nature,природа,feminine,FALSE
493,video,видео,neuter,FALSE
494,rain,дождь,masculine,FALSE
495,camp,лагерь,masculine,FALSE
496,shame,стыд,masculine,FALSE
497,driver,водитель,"masculine, водительница",FALSE
498,bird,птица,feminine,FALSE
499,crowd,толпа,feminine,FALSE
500,level,уровень,masculine,FALSE
501,faith,вера,feminine,FALSE
502,commander,командир,masculine,FALSE
503,client,клиент,"masculine, клиентка",FALSE
504,engine,двигатель,masculine,FALSE
505,pop,поп,masculine (as in a pop music artist or a disparaging term for a priest),FALSE
506,animal,животное,neuter,FALSE
507,devil,дьявол,masculine,FALSE
508,weekend,выходные,"plural, masculine",FALSE
509,stone,камень,masculine,FALSE
510,sweetheart,возлюбленная,feminine,FALSE
511,skin,кожа,feminine,FALSE
512,knife,нож,masculine,FALSE
513,drug,наркотик,masculine,FALSE
514,blind,слепой,"masculine, слепая",FALSE
515,german,немецкий,masculine (when used as a noun referring to the language or nationality),FALSE
516,beach,пляж,masculine,FALSE
517,hat,шапка,feminine,FALSE
518,local,местный,masculine,FALSE
519,code,код,masculine,FALSE
520,hall,зал,masculine,FALSE
521,opportunity,возможность,feminine,FALSE
522,bullshit,чушь,feminine,FALSE
523,corner,угол,masculine,FALSE
524,cup,чашка,feminine,FALSE
525,justice,справедливость,feminine,FALSE
526,bottom,дно,neuter,FALSE
527,ghost,привидение,neuter,FALSE
528,restaurant,ресторан,masculine,FALSE
529,language,язык,masculine,FALSE
530,east,восток,masculine,FALSE
531,fellow,товарищ,masculine,FALSE
532,note,записка,feminine,FALSE
533,leader,лидер,masculine,FALSE
534,health,здоровье,neuter,FALSE
535,angel,ангел,masculine,FALSE
536,rule,правило,neuter,FALSE
537,cousin,двоюродный брат/двоюродная сестра,masculine/feminine,FALSE
538,advice,совет,masculine,FALSE
539,pardon,прощение,neuter,FALSE
540,milk,молоко,neuter,FALSE
541,speed,скорость,feminine,FALSE
542,file,файл,masculine,FALSE
543,tape,кассета,feminine,FALSE
544,practice,практика,feminine,FALSE
545,emergency,чрезвычайное происшествие,neuter,FALSE
546,bridge,мост,masculine,FALSE
547,coach,тренер,"masculine, тренерша",FALSE
548,inspector,инспектор,"masculine, инспекторша",FALSE
549,minister,министр,"masculine, министресса",FALSE
550,applause,аплодисменты,"plural, masculine",FALSE
551,conversation,разговор,masculine,FALSE
552,account,счет,masculine,FALSE
553,breath,дыхание,neuter,FALSE
554,crew,экипаж,masculine,FALSE
555,meat,мясо,neuter,FALSE
556,cake,торт,masculine,FALSE
557,strength,сила,feminine,FALSE
558,career,карьера,feminine,FALSE
559,sight,зрение,neuter,FALSE
560,vote,голосование,neuter,FALSE
561,copy,копия,feminine,FALSE
562,nonsense,бред,masculine,FALSE
563,student,студент,"masculine, студентка",FALSE
564,trial,судебный процесс,masculine,FALSE
565,freedom,свобода,feminine,FALSE
566,market,рынок,masculine,FALSE
567,manager,менеджер,masculine,FALSE
568,size,размер,masculine,FALSE
569,operation,операция,feminine,FALSE
570,trick,трюк,masculine,FALSE
571,sweetie,милашка,feminine,FALSE
572,pack,пакет,masculine,FALSE
573,monster,чудовище,neuter,FALSE
574,center,центр,masculine,FALSE
575,travel,путешествие,neuter,FALSE
576,target,цель,feminine,FALSE
577,science,наука,feminine,FALSE
578,project,проект,masculine,FALSE
579,feed,кормление,neuter,FALSE
580,credit,кредит,masculine,FALSE
581,suicide,самоубийство,neuter,FALSE
582,investigation,расследование,neuter,FALSE
583,nurse,медсестра,feminine,FALSE
584,oil,нефть,feminine,FALSE
585,criminal,преступник,"masculine, преступница",FALSE
586,soldier,солдат,masculine,FALSE
587,shirt,рубашка,feminine,FALSE
588,example,пример,masculine,FALSE
589,strike,забастовка,feminine,FALSE
590,chair,стул,masculine,FALSE
591,universe,вселенная,feminine,FALSE
592,command,команда,feminine,FALSE
593,condition,состояние,neuter,FALSE
594,challenge,вызов,masculine,FALSE
595,ticket,билет,masculine,FALSE
596,view,вид,masculine,FALSE
597,program,программа,feminine,FALSE
598,brown,коричневый,masculine,FALSE
599,wash,стирка,feminine,FALSE
600,society,общество,neuter,FALSE
601,release,освобождение,neuter,FALSE
602,birth,рождение,neuter,FALSE
603,research,исследование,neuter,FALSE
604,guest,гость,masculine,FALSE
605,lift,лифт,masculine,FALSE
606,opinion,мнение,neuter,FALSE
607,character,характер,masculine,FALSE
608,mountain,гора,feminine,FALSE
609,heat,жара,feminine,FALSE
610,tie,галстук,masculine,FALSE
611,sheriff,шериф,masculine,FALSE
612,color,цвет,masculine,FALSE
613,sword,меч,masculine,FALSE
614,lab,лаборатория,feminine,FALSE
615,bullet,пуля,feminine,FALSE
616,proof,доказательство,neuter,FALSE
617,base,база,feminine,FALSE
618,cream,крем,masculine,FALSE
619,noise,шум,masculine,FALSE
620,total,итог,masculine,FALSE
621,gang,банда,feminine,FALSE
622,happiness,счастье,neuter,FALSE
623,joy,радость,feminine,FALSE
624,female,женщина,feminine,FALSE
625,draw,чертеж,"masculine (if meant as ""drawing""); ничья",FALSE
626,male,мужчина,masculine,FALSE
627,bite,укус,masculine,FALSE
628,shower,душ,masculine,FALSE
629,audience,аудитория,feminine,FALSE
630,purpose,цель,feminine,FALSE
631,fate,судьба,feminine,FALSE
632,screw,винт,masculine,FALSE
633,gentleman,джентльмен,masculine,FALSE
634,medicine,медицина,feminine,FALSE
635,responsibility,ответственность,feminine,FALSE
636,talk,беседа,feminine,FALSE
637,split,разделение,neuter,FALSE
638,weight,вес,masculine,FALSE
639,unit,единица,feminine,FALSE
640,pig,свинья,feminine,FALSE
641,desk,письменный стол,masculine,FALSE
642,finger,палец,masculine,FALSE
643,pool,бассейн,masculine,FALSE
644,focus,фокус,masculine,FALSE
645,garden,сад,masculine,FALSE
646,property,собственность,feminine,FALSE
647,mayor,мэр,masculine,FALSE
648,issue,вопрос,masculine,FALSE
649,pal,приятель,masculine,FALSE
650,interview,интервью,neuter,FALSE
651,fan,вентилятор,"masculine (if meant as ""fan for air""); фанат",FALSE
652,signal,сигнал,masculine,FALSE
653,silence,тишина,feminine,FALSE
654,surgery,хирургия,feminine,FALSE
655,harm,вред,masculine,FALSE
656,staff,штат,masculine,FALSE
657,chef,шеф-повар,masculine,FALSE
658,weather,погода,feminine,FALSE
659,distance,расстояние,neuter,FALSE
660,process,процесс,masculine,FALSE
661,season,сезон,masculine,FALSE
662,access,доступ,masculine,FALSE
663,model,модель,feminine,FALSE
664,path,тропа,"feminine (if meant as ""path""); путь",FALSE
665,russian,русский,masculine,FALSE
666,member,член,masculine,FALSE
667,style,стиль,masculine,FALSE
668,alarm,сигнал тревоги,masculine,FALSE
669,japanese,японский,masculine,FALSE
670,sugar,сахар,masculine,FALSE
671,roof,крыша,feminine,FALSE
672,funeral,похороны,plural,FALSE
673,damage,повреждение,neuter,FALSE
674,stomach,желудок,masculine,FALSE
675,bread,хлеб,masculine,FALSE
676,snow,снег,masculine,FALSE
677,castle,замок,masculine,FALSE
678,speech,речь,feminine,FALSE
679,block,блок,masculine,FALSE
680,shake,встряска,feminine,FALSE
681,dig,копание,neuter,FALSE
682,post,пост,masculine,FALSE
683,reality,реальность,feminine,FALSE
684,football,футбол,masculine,FALSE
685,spread,распространение,neuter,FALSE
686,coat,пальто,neuter,FALSE
687,chest,грудь,feminine,FALSE
688,success,успех,masculine,FALSE
689,madame,мадам,feminine,FALSE
690,safety,безопасность,feminine,FALSE
691,permission,разрешение,neuter,FALSE
692,fancy,увлечение,neuter,FALSE
693,theory,теория,feminine,FALSE
694,gate,ворота,plural,FALSE
695,journey,путешествие,neuter,FALSE
696,paint,краска,feminine,FALSE
697,lover,возлюбленный(ая),masculine(feminine),FALSE
698,mood,настроение,neuter,FALSE
699,storm,шторм,masculine,FALSE
700,page,страница,feminine,FALSE
701,cheese,сыр,masculine,FALSE
702,priest,священник,masculine,FALSE
703,regret,сожаление,neuter,FALSE
704,contract,договор,masculine,FALSE
705,thief,вор,masculine,FALSE
706,divorce,развод,masculine,FALSE
707,lesson,урок,masculine,FALSE
708,community,сообщество,neuter,FALSE
709,subject,предмет,masculine,FALSE
710,rent,аренда,feminine,FALSE
711,revenge,месть,feminine,FALSE
712,trade,торговля,feminine,FALSE
713,forest,лес,masculine,FALSE
714,rush,спешка,feminine,FALSE
715,owner,владелец,masculine,FALSE
716,amount,количество,neuter,FALSE
717,artist,художник,masculine,FALSE
718,pocket,карман,masculine,FALSE
719,cancer,рак,"masculine (if meant as ""cancer""); рак",FALSE
720,pair,пара,feminine,FALSE
721,ruin,разрушение,neuter,FALSE
722,grandfather,дедушка,masculine,FALSE
723,bike,велосипед,masculine,FALSE
724,loss,потеря,feminine,FALSE
725,liar,лгун,masculine,FALSE
726,winter,зима,feminine,FALSE
727,assistant,помощник,masculine,FALSE
728,murderer,убийца,masculine,FALSE
729,farm,ферма,feminine,FALSE
730,tongue,язык,masculine,FALSE
731,toilet,туалет,masculine,FALSE
732,genius,гений,masculine (person); гениальность,FALSE
733,square,площадь,feminine,FALSE
734,secretary,секретарь,masculine,FALSE
735,connection,связь,feminine,FALSE
736,downstairs,нижний этаж,masculine,FALSE
737,bedroom,спальня,feminine,FALSE
738,professional,профессионал,masculine,FALSE
739,tour,тур,masculine,FALSE
740,player,игрок,masculine,FALSE
741,silver,серебро,neuter,FALSE
742,pity,жалость,feminine,FALSE
743,clock,часы,plural,FALSE
744,ocean,океан,masculine,FALSE
745,dna,ДНК,neuter,FALSE
746,crash,крушение,neuter,FALSE
747,bath,ванна,feminine,FALSE
748,fortune,удача,feminine,FALSE
749,century,век,masculine,FALSE
750,insurance,страхование,neuter,FALSE
751,airport,аэропорт,masculine,FALSE
752,temple,храм,masculine,FALSE
753,knowledge,знание,neuter,FALSE
754,map,карта,feminine,FALSE
755,competition,соревнование,neuter,FALSE
756,defense,защита,feminine,FALSE
757,goodness,доброта,feminine,FALSE
758,event,событие,neuter,FALSE
759,period,период,masculine,FALSE
760,shape,форма,feminine,FALSE
761,hell,ад,masculine,FALSE
762,telephone,телефон,masculine,FALSE
