id,word,translation,gender
213,law,закон,masculine
214,kiss,поцелуй,masculine
215,works,работы,"plural, feminine"
216,report,отчет,masculine
217,pain,боль,feminine
218,pass,проход,masculine
219,wake,пробуждение,neuter
220,general,генерал,masculine
221,ship,корабль,masculine
222,choice,выбор,masculine
223,class,класс,masculine
224,officer,офицер,masculine
225,mistake,ошибка,feminine
226,chief,начальник,masculine
227,age,возраст,masculine
228,mouth,рот,masculine
229,finish,финиш,masculine
230,clothes,одежда,feminine
231,ride,поездка,feminine
232,birthday,день рождения,masculine
233,dark,темнота,feminine
234,system,система,feminine
235,film,фильм,masculine
236,court,суд,masculine
237,movie,фильм,masculine
238,month,месяц,masculine
239,wear,ношение,neuter
240,train,поезд,masculine
241,hotel,отель,masculine
242,evidence,улика,feminine
243,security,безопасность,feminine
244,information,информация,feminine
245,bag,сумка,feminine
246,attack,атака,feminine
247,round,раунд,masculine
248,blue,синий,masculine
249,station,станция,feminine
250,table,стол,masculine
251,message,сообщение,neuter
252,history,история,feminine
253,fool,дурак,masculine
254,buddy,приятель,masculine
255,floor,пол,masculine
256,sun,солнце,neuter
257,handle,ручка,feminine
258,army,армия,feminine
259,marriage,брак,masculine
260,letter,письмо,neuter
261,attention,внимание,neuter
262,peace,мир,masculine
263,situation,ситуация,feminine
264,middle,середина,feminine
265,rock,скала,feminine
266,test,тест,masculine
267,lead,свинец,masculine
268,club,клуб,masculine
269,fear,страх,masculine
270,present,настоящее,neuter
271,idiot,идиот,masculine
272,box,коробка,feminine
273,ball,мяч,masculine
274,group,группа,feminine
275,boat,лодка,feminine
276,count,счет,masculine
277,bastard,ублюдок,masculine
278,crime,преступление,neuter
279,key,ключ,masculine
280,force,сила,feminine
281,horse,лошадь,feminine
282,lunch,обед,masculine
283,american,американец,masculine
284,paper,бумага,feminine
285,charge,обвинение,neuter
286,surprise,сюрприз,masculine
287,space,пространство,neuter
288,fell,падение,neuter
289,honor,честь,feminine
290,accident,авария,feminine
291,fish,рыба,feminine
292,bar,бар,masculine
293,ground,земля,feminine
294,government,правительство,neuter
295,bank,банк,masculine
296,cover,обложка,feminine
297,major,майор,masculine
298,hide,прятки,"plural, masculine/feminine"
299,stick,палка,feminine
300,sea,море,neuter
301,tea,чай,masculine
302,area,район,masculine
303,dress,платье,neuter
304,service,сервис,masculine
305,trip,поездка,feminine
306,radio,радио,neuter
307,blow,удар,masculine
308,star,звезда,feminine
309,record,запись,feminine
310,offer,предложение,neuter
311,prison,тюрьма,feminine
312,soul,душа,feminine
313,list,список,masculine
314,gold,золото,neuter
315,afternoon,послеобед,masculine
316,agent,агент,masculine
317,detective,детектив,masculine
318,fix,ремонт,masculine
319,respect,уважение,neuter
320,public,публика,feminine
321,girlfriend,подруга,feminine
322,drunk,пьяница,"masculine/feminine (when used as a noun, it can refer to a person of either gender)"
323,brain,мозг,masculine
324,cell,клетка,feminine
325,mess,беспорядок,masculine
326,smell,запах,masculine
327,fly,муха,feminine
328,killer,убийца,"masculine/feminine (when used as a noun, it depends on the gender of the person)"
329,scene,сцена,feminine
330,card,карточка,feminine
331,english,английский,masculine (when used as a noun referring to the language)
332,church,церковь,feminine
333,ice,лед,masculine
334,window,окно,neuter
335,share,доля,feminine
336,laugh,смех,masculine
337,lieutenant,лейтенант,masculine
338,cry,плач,masculine
339,mum,мама,feminine
340,visit,визит,masculine
341,seat,место,neuter
342,teacher,учитель,"masculine, учительница"
343,relationship,отношение,neuter
344,pleasure,удовольствие,neuter
345,camera,камера,feminine
346,college,колледж,masculine
347,judge,судья,masculine/feminine (depends on the person's gender)
348,position,позиция,feminine
349,sake,дело,neuter
350,boyfriend,парень,masculine
351,wall,стена,feminine
352,private,частное,"neuter (as an abstract noun), частный сектор"
353,stop,остановка,feminine
354,french,французский,masculine (when used as a noun referring to the language)
355,art,искусство,neuter
356,machine,машина,feminine
357,green,зелень,feminine
358,cop,полицейский,masculine
359,wine,вино,neuter
360,apartment,квартира,feminine
361,village,деревня,feminine
362,congratulations,поздравление,neuter
363,jail,тюремное заключение,neuter
364,joke,шутка,feminine
365,evil,зло,neuter
366,lawyer,адвокат,masculine/feminine (depends on the person's gender)
367,field,поле,neuter
368,contact,контакт,masculine
369,store,магазин,masculine
370,shop,лавка,"feminine (if referring to a small shop), also магазин"
371,professor,профессор,"masculine, профессорша"
372,madam,мадам,feminine
373,doubt,сомнение,neuter
374,plane,самолет,masculine
375,cash,наличные,"plural, neuter (money/cash is generally used in the plural)"
376,island,остров,masculine
377,cat,кот,"masculine, кошка"
378,decision,решение,neuter
379,beer,пиво,neuter
380,difference,разница,feminine
381,push,толчок,masculine
382,south,юг,masculine
383,gift,подарок,masculine
384,glass,стакан,masculine
385,tree,дерево,neuter
386,bear,медведь,masculine
387,north,север,masculine
388,bus,автобус,masculine
389,partner,партнер,"masculine, партнерша"
390,grab,хватка,feminine
391,victim,жертва,feminine
392,computer,компьютер,masculine
393,truck,грузовик,masculine
394,reach,досягаемость,feminine
395,board,доска,feminine
396,fat,жир,masculine
397,planet,планета,feminine
398,search,поиск,masculine
399,wind,ветер,masculine
400,arrest,арест,masculine
401,jump,прыжок,masculine
402,support,поддержка,feminine
403,magic,магия,feminine
404,crap,дерьмо,neuter
405,kitchen,кухня,feminine
406,summer,лето,neuter
407,patient,пациент,"masculine, пациентка"
408,aunt,тетя,feminine
409,experience,опыт,masculine
410,heaven,рай,masculine
411,river,река,feminine
412,knock,стук,masculine
413,escape,побег,masculine
414,address,адрес,masculine
415,foot,ступня,feminine
416,moon,луна,feminine
417,mate,товарищ,masculine
418,match,матч,masculine
419,final,финал,masculine
420,smoke,дым,masculine
421,blame,вина,feminine
422,press,пресса,"feminine (when referring to the media), also пресс"
423,smile,улыбка,feminine
424,type,тип,masculine
425,mission,миссия,feminine
426,favor,одолжение,neuter
427,action,действие,neuter
428,duty,обязанность,feminine
429,price,цена,feminine
430,guard,охранник,"masculine, охранница"
431,risk,риск,masculine
432,notice,уведомление,neuter
433,enemy,враг,masculine
434,kick,удар,masculine (noun referring to a kick can also be удар)
435,race,гонка,feminine
436,suit,костюм,masculine
437,fit,примерка,feminine
438,director,директор,"masculine, директриса"
439,spot,место,neuter
440,cross,крест,masculine
441,arm,рука,feminine
442,upstairs,верх,"masculine (when used as ""upstairs,"" though верхняя ступенька"
443,chicken,курица,feminine
444,department,отдел,masculine
445,hero,герой,masculine
446,gas,газ,masculine
447,sergeant,сержант,masculine
448,low,низ,masculine
449,leg,нога,feminine
450,taste,вкус,masculine
451,waste,отходы,"plural, masculine"
452,west,запад,masculine
453,bunch,связка,"feminine (for a bunch of keys for example), also пучок"
454,battle,битва,feminine
455,study,учеба,feminine
456,mention,упоминание,neuter
457,bell,колокол,masculine
458,stage,сцена,feminine
459,hole,дыра,feminine
460,lock,замок,masculine
461,weapon,оружие,neuter
462,energy,энергия,feminine
463,treat,угощение,neuter
464,burn,ожог,masculine
465,form,форма,feminine
466,sky,небо,neuter
467,breakfast,завтрак,masculine
468,band,группа,feminine (for a band of musicians)
469,track,трек,masculine
470,spirit,дух,masculine
471,nose,нос,masculine
472,favorite,любимый,"masculine, любимица"
473,memory,память,feminine
474,laughter,смех,masculine
475,roll,рулон,masculine
476,witness,свидетель,"masculine, свидетельница"
477,double,двойник,masculine
478,bathroom,ванная,feminine (short for ванная комната
479,build,строительство,neuter
480,bomb,бомба,feminine
481,pressure,давление,neuter
482,flight,полет,masculine
483,interest,интерес,masculine
484,throat,горло,neuter
485,cost,стоимость,feminine
486,danger,опасность,feminine
487,asshole,мудак,masculine (vulgar term)
488,neck,шея,feminine
489,suspect,подозреваемый,"masculine, подозреваемая"
490,bottle,бутылка,feminine
491,beauty,красота,feminine
492,nature,природа,feminine
493,video,видео,neuter
494,rain,дождь,masculine
495,camp,лагерь,masculine
496,shame,стыд,masculine
497,driver,водитель,"masculine, водительница"
498,bird,птица,feminine
499,crowd,толпа,feminine
500,level,уровень,masculine
501,faith,вера,feminine
502,commander,командир,masculine
503,client,клиент,"masculine, клиентка"
504,engine,двигатель,masculine
505,pop,поп,masculine (as in a pop music artist or a disparaging term for a priest)
506,animal,животное,neuter
507,devil,дьявол,masculine
508,weekend,выходные,"plural, masculine"
509,stone,камень,masculine
510,sweetheart,возлюбленная,feminine
511,skin,кожа,feminine
512,knife,нож,masculine
513,drug,наркотик,masculine
514,blind,слепой,"masculine, слепая"
515,german,немецкий,masculine (when used as a noun referring to the language or nationality)
516,beach,пляж,masculine
517,hat,шапка,feminine
518,local,местный,masculine
519,code,код,masculine
520,hall,зал,masculine
521,opportunity,возможность,feminine
522,bullshit,чушь,feminine
523,corner,угол,masculine
524,cup,чашка,feminine
525,justice,справедливость,feminine
526,bottom,дно,neuter
527,ghost,привидение,neuter
528,restaurant,ресторан,masculine
529,language,язык,masculine
530,east,восток,masculine
531,fellow,товарищ,masculine
532,note,записка,feminine
533,leader,лидер,masculine
534,health,здоровье,neuter
535,angel,ангел,masculine
536,rule,правило,neuter
537,cousin,двоюродный брат/двоюродная сестра,masculine/feminine
538,advice,совет,masculine
539,pardon,прощение,neuter
540,milk,молоко,neuter
541,speed,скорость,feminine
542,file,файл,masculine
543,tape,кассета,feminine
544,practice,практика,feminine
545,emergency,чрезвычайное происшествие,neuter
546,bridge,мост,masculine
547,coach,тренер,"masculine, тренерша"
548,inspector,инспектор,"masculine, инспекторша"
549,minister,министр,"masculine, министресса"
550,applause,аплодисменты,"plural, masculine"
551,conversation,разговор,masculine
552,account,счет,masculine
553,breath,дыхание,neuter
554,crew,экипаж,masculine
555,meat,мясо,neuter
556,cake,торт,masculine
557,strength,сила,feminine
558,career,карьера,feminine
559,sight,зрение,neuter
560,vote,голосование,neuter
561,copy,копия,feminine
562,nonsense,бред,masculine
563,student,студент,"masculine, студентка"
564,trial,судебный процесс,masculine
565,freedom,свобода,feminine
566,market,рынок,masculine
567,manager,менеджер,masculine
568,size,размер,masculine
569,operation,операция,feminine
570,trick,трюк,masculine
571,sweetie,милашка,feminine
572,pack,пакет,masculine
573,monster,чудовище,neuter
574,center,центр,masculine
575,travel,путешествие,neuter
576,target,цель,feminine
577,science,наука,feminine
578,project,проект,masculine
579,feed,кормление,neuter
580,credit,кредит,masculine
581,suicide,самоубийство,neuter
582,investigation,расследование,neuter
583,nurse,медсестра,feminine
584,oil,нефть,feminine
585,criminal,преступник,"masculine, преступница"
586,soldier,солдат,masculine
587,shirt,рубашка,feminine
588,example,пример,masculine
589,strike,забастовка,feminine
590,chair,стул,masculine
591,universe,вселенная,feminine
592,command,команда,feminine
593,condition,состояние,neuter
594,challenge,вызов,masculine
595,ticket,билет,masculine
596,view,вид,masculine
597,program,программа,feminine
598,brown,коричневый,masculine
599,wash,стирка,feminine
600,society,общество,neuter
601,release,освобождение,neuter
602,birth,рождение,neuter
603,research,исследование,neuter
604,guest,гость,masculine
605,lift,лифт,masculine
606,opinion,мнение,neuter
607,character,характер,masculine
608,mountain,гора,feminine
609,heat,жара,feminine
610,tie,галстук,masculine
611,sheriff,шериф,masculine
612,color,цвет,masculine
613,sword,меч,masculine
614,lab,лаборатория,feminine
615,bullet,пуля,feminine
616,proof,доказательство,neuter
617,base,база,feminine
618,cream,крем,masculine
619,noise,шум,masculine
620,total,итог,masculine
621,gang,банда,feminine
622,happiness,счастье,neuter
623,joy,радость,feminine
624,female,женщина,feminine
625,draw,чертеж,"masculine (if meant as ""drawing""); ничья"
626,male,мужчина,masculine
627,bite,укус,masculine
628,shower,душ,masculine
629,audience,аудитория,feminine
630,purpose,цель,feminine
631,fate,судьба,feminine
632,screw,винт,masculine
633,gentleman,джентльмен,masculine
634,medicine,медицина,feminine
635,responsibility,ответственность,feminine
636,talk,беседа,feminine
637,split,разделение,neuter
638,weight,вес,masculine
639,unit,единица,feminine
640,pig,свинья,feminine
641,desk,письменный стол,masculine
642,finger,палец,masculine
643,pool,бассейн,masculine
644,focus,фокус,masculine
645,garden,сад,masculine
646,property,собственность,feminine
647,mayor,мэр,masculine
648,issue,вопрос,masculine
649,pal,приятель,masculine
650,interview,интервью,neuter
651,fan,вентилятор,"masculine (if meant as ""fan for air""); фанат"
652,signal,сигнал,masculine
653,silence,тишина,feminine
654,surgery,хирургия,feminine
655,harm,вред,masculine
656,staff,штат,masculine
657,chef,шеф-повар,masculine
658,weather,погода,feminine
659,distance,расстояние,neuter
660,process,процесс,masculine
661,season,сезон,masculine
662,access,доступ,masculine
663,model,модель,feminine
664,path,тропа,"feminine (if meant as ""path""); путь"
665,russian,русский,masculine
666,member,член,masculine
667,style,стиль,masculine
668,alarm,сигнал тревоги,masculine
669,japanese,японский,masculine
670,sugar,сахар,masculine
671,roof,крыша,feminine
672,funeral,похороны,plural
673,damage,повреждение,neuter
674,stomach,желудок,masculine
675,bread,хлеб,masculine
676,snow,снег,masculine
677,castle,замок,masculine
678,speech,речь,feminine
679,block,блок,masculine
680,shake,встряска,feminine
681,dig,копание,neuter
682,post,пост,masculine
683,reality,реальность,feminine
684,football,футбол,masculine
685,spread,распространение,neuter
686,coat,пальто,neuter
687,chest,грудь,feminine
688,success,успех,masculine
689,madame,мадам,feminine
690,safety,безопасность,feminine
691,permission,разрешение,neuter
692,fancy,увлечение,neuter
693,theory,теория,feminine
694,gate,ворота,plural
695,journey,путешествие,neuter
696,paint,краска,feminine
697,lover,возлюбленный(ая),masculine(feminine)
698,mood,настроение,neuter
699,storm,шторм,masculine
700,page,страница,feminine
701,cheese,сыр,masculine
702,priest,священник,masculine
703,regret,сожаление,neuter
704,contract,договор,masculine
705,thief,вор,masculine
706,divorce,развод,masculine
707,lesson,урок,masculine
708,community,сообщество,neuter
709,subject,предмет,masculine
710,rent,аренда,feminine
711,revenge,месть,feminine
712,trade,торговля,feminine
713,forest,лес,masculine
714,rush,спешка,feminine
715,owner,владелец,masculine
716,amount,количество,neuter
717,artist,художник,masculine
718,pocket,карман,masculine
719,cancer,рак,"masculine (if meant as ""cancer""); рак"
720,pair,пара,feminine
721,ruin,разрушение,neuter
722,grandfather,дедушка,masculine
723,bike,велосипед,masculine
724,loss,потеря,feminine
725,liar,лгун,masculine
726,winter,зима,feminine
727,assistant,помощник,masculine
728,murderer,убийца,masculine
729,farm,ферма,feminine
730,tongue,язык,masculine
731,toilet,туалет,masculine
732,genius,гений,masculine (person); гениальность
733,square,площадь,feminine
734,secretary,секретарь,masculine
735,connection,связь,feminine
736,downstairs,нижний этаж,masculine
737,bedroom,спальня,feminine
738,professional,профессионал,masculine
739,tour,тур,masculine
740,player,игрок,masculine
741,silver,серебро,neuter
742,pity,жалость,feminine
743,clock,часы,plural
744,ocean,океан,masculine
745,dna,ДНК,neuter
746,crash,крушение,neuter
747,bath,ванна,feminine
748,fortune,удача,feminine
749,century,век,masculine
750,insurance,страхование,neuter
751,airport,аэропорт,masculine
752,temple,храм,masculine
753,knowledge,знание,neuter
754,map,карта,feminine
755,competition,соревнование,neuter
756,defense,защита,feminine
757,goodness,доброта,feminine
758,event,событие,neuter
759,period,период,masculine
760,shape,форма,feminine
761,hell,ад,masculine
762,telephone,телефон,masculine
763,request,запрос,masculine
764,grant,грант,masculine
765,affair,дело,neuter
766,grave,могила,feminine
767,giant,гигант,masculine
768,plant,завод,masculine
769,site,место,neuter
770,statement,заявление,neuter
771,rise,подъем,masculine
772,jacket,куртка,feminine
773,mercy,милосердие,neuter
774,whore,шлюха,feminine
775,switch,переключатель,masculine
776,meal,еда,feminine
777,direction,направление,neuter
778,data,данные,"plural, neuter"
779,horn,рог,masculine
780,attorney,адвокат,masculine
781,official,чиновник,masculine
782,rat,крыса,feminine
783,pizza,пицца,feminine
784,shock,шок,masculine
785,soup,суп,masculine
786,courage,мужество,neuter
787,yellow,желтый,masculine
788,location,местоположение,neuter
789,jerk,придурок,masculine
790,chocolate,шоколад,masculine
791,image,образ,masculine
792,regular,обычный,masculine
793,taxi,такси,neuter
794,piss,моча,feminine
795,wound,рана,feminine
796,plate,тарелка,feminine
797,television,телевидение,neuter
798,freak,чудак,mascunline
799,traffic,движение,neuter
800,dawn,рассвет,masculine
801,poison,яд,masculine
802,mystery,тайна,feminine
803,indian,индийский,masculine
804,bang,хлопок,masculine
805,disease,болезнь,feminine
806,italian,итальянский,masculine
807,role,роль,feminine
808,butt,задница,feminine
809,victory,победа,feminine
810,trap,ловушка,feminine
811,nation,нация,feminine
812,desire,желание,neuter
813,midnight,полночь,feminine
814,jury,жюри,neuter
815,appointment,встреча,feminine
816,swim,плавание,neuter
817,mail,почта,feminine
818,vacation,отпуск,masculine
819,source,источник,masculine
820,factory,завод,masculine
821,palace,дворец,masculine
822,crack,трещина,feminine
823,talent,талант,masculine
824,neighborhood,район,masculine
825,threat,угроза,feminine
826,ear,ухо,neuter
827,miracle,чудо,neuter
828,grandmother,бабушка,feminine
829,firm,фирма,feminine
830,winner,победитель,masculine
831,license,лицензия,feminine
832,advantage,преимущество,neuter
833,monkey,обезьяна,feminine
834,mirror,зеркало,neuter
835,wood,дерево,neuter
836,union,союз,masculine
837,christian,христианин,masculine
838,violence,насилие,neuter
839,protection,защита,feminine
840,hook,крючок,masculine
841,motherfucker,ублюдок,masculine
842,concern,забота,feminine
843,effect,эффект,masculine
844,studio,студия,feminine
845,load,нагрузка,feminine
846,treasure,сокровище,neuter
847,spell,заклинание,neuter
848,iron,железо,neuter
849,rescue,спасение,neuter
850,treatment,лечение,neuter
851,desert,пустыня,feminine
852,result,результат,masculine
853,piano,пианино,neuter
854,friendship,дружба,feminine
855,candy,конфета,feminine
856,bride,невеста,feminine
857,flower,цветок,masculine
858,bone,кость,feminine
859,value,ценность,feminine
860,junior,младший,masculine
861,remains,остатки,plural
862,metal,металл,masculine
863,tip,чаевые,plural
864,holiday,отпуск,masculine
865,rate,ставка,feminine
866,performance,выступление,neuter
867,governor,губернатор,masculine
868,vehicle,транспортное средство,neuter
869,toast,тост,masculine
870,pride,гордость,feminine
871,champagne,шампанское,neuter
872,stranger,незнакомец,masculine
873,uniform,форма,feminine
874,tear,слеза,feminine
875,cab,такси,neuter
876,presence,присутствие,neuter
877,scream,крик,masculine
878,dust,пыль,feminine
879,edge,край,masculine
880,witch,ведьма,feminine
881,media,средства массовой информации,plural
882,claim,претензия,feminine
883,rice,рис,masculine
884,egg,яйцо,neuter
885,punch,удар,masculine
886,cast,кастинг,masculine
887,intelligence,разведка,"feminine (if meant as ""intelligence agency""); интеллект"
888,cow,корова,feminine
889,surface,поверхность,feminine
890,cigarette,сигарета,feminine
891,destiny,судьба,feminine
892,score,счет,masculine
893,technology,технология,feminine
894,dragon,дракон,masculine
895,pilot,пилот,masculine
896,sin,грех,masculine
897,emperor,император,masculine
898,goal,цель,feminine
899,youth,молодежь,feminine
900,pot,горшок,masculine
901,wolf,волк,masculine
902,boom,взрыв,masculine
903,row,ряд,masculine
904,section,секция,feminine
905,dump,свалка,feminine
906,text,текст,masculine
907,prisoner,заключённый,masculine
908,zero,ноль,masculine
909,wheel,колесо,neuter
910,exchange,обмен,masculine
911,coast,побережье,neuter
912,grade,оценка,feminine
913,shift,смена,feminine
914,cure,лекарство,neuter
915,sacrifice,жертва,feminine
916,beast,зверь,masculine
917,pie,пирог,masculine
918,material,материал,masculine
919,creature,существо,neuter
920,trace,след,masculine
921,button,кнопка,feminine
922,darkness,тьма,feminine
923,ambulance,скорая помощь,feminine
924,internet,интернет,masculine
925,range,диапазон,masculine
926,expert,эксперт,masculine
927,freeze,заморозка,feminine
928,sale,распродажа,feminine
929,juice,сок,masculine
930,solution,раствор,masculine
931,tower,башня,feminine
932,mass,масса,feminine
933,alien,пришелец,masculine
934,schedule,расписание,neuter
935,stairs,лестница,feminine
936,fruit,фрукт,masculine
937,spy,шпион,masculine
938,senior,старший,masculine
939,garage,гараж,masculine
940,anger,гнев,masculine
941,clue,подсказка,feminine
942,magazine,журнал,masculine
943,zone,зона,feminine
944,shoulder,плечо,neuter
945,progress,прогресс,masculine
946,snake,змея,feminine
947,effort,усилие,neuter
948,elevator,лифт,masculine
949,sentence,предложение,neuter
950,equipment,оборудование,neuter
951,attitude,отношение,neuter
952,newspaper,газета,feminine
953,warrant,ордер,masculine
954,loser,проигравший,masculine
955,series,серия,feminine
956,vision,зрение,neuter
957,actor,актёр,masculine
958,curse,проклятие,neuter
959,shadow,тень,feminine
960,passion,страсть,feminine
961,route,маршрут,masculine
962,reporter,репортёр,masculine
963,explosion,взрыв,masculine
964,squad,отряд,masculine
965,kingdom,королевство,neuter
966,screen,экран,masculine
967,fashion,мода,feminine
968,wave,волна,feminine
969,climb,подъём,masculine
970,pen,ручка,feminine
971,incident,инцидент,masculine
972,bull,бык,masculine
973,chain,цепь,feminine
974,device,устройство,neuter
975,debt,долг,masculine
976,campaign,кампания,feminine
977,hug,объятие,neuter
978,alcohol,алкоголь,masculine
979,conference,конференция,feminine
980,education,образование,neuter
981,politics,политика,feminine
982,rape,изнасилование,neuter
983,mummy,мумия,feminine
984,border,граница,feminine
985,wire,провод,masculine
986,prize,приз,masculine
987,circle,круг,masculine
988,object,объект,masculine
989,robbery,ограбление,neuter
990,thunder,гром,masculine
991,rope,веревка,feminine
992,salt,соль,feminine
993,flesh,плоть,feminine
994,writer,писатель,masculine
995,trash,мусор,masculine
996,reward,вознаграждение,neuter
997,glory,слава,feminine
998,authority,власть,feminine
999,estate,имущество,neuter
1000,yard,двор,masculine
1001,tank,танк,masculine
1002,confidence,уверенность,feminine
1003,lack,недостаток,masculine
1004,apple,яблоко,neuter
1005,approach,подход,masculine
1006,chick,цыплёнок,masculine
1007,doll,кукла,feminine
1008,duck,утка,feminine
1009,stock,акции,"plural, feminine"
1010,library,библиотека,feminine
1011,failure,неудача,feminine
1012,movement,движение,neuter
1013,bow,лук,masculine
1014,tail,хвост,masculine
1015,senator,сенатор,masculine
1016,nightmare,кошмар,masculine
1017,theater,театр,masculine
1018,sand,песок,masculine
1019,reputation,репутация,feminine
1020,slip,промах,masculine
1021,pink,розовый,masculine (adjective used as a noun)
1022,maid,горничная,feminine
1023,agency,агентство,neuter
1024,childhood,детство,neuter
1025,opposite,противоположность,feminine
1026,policy,политика,feminine
1027,panic,паника,feminine
1028,design,дизайн,masculine
1029,chat,чат,masculine
1030,task,задача,feminine
1031,chatter,болтовня,feminine
1032,belt,ремень,masculine
1033,guarantee,гарантия,feminine
1034,current,течение,neuter
1035,garbage,мусор,masculine
1036,custody,опека,feminine
1037,demon,демон,masculine
1038,coincidence,совпадение,neuter
1039,attempt,попытка,feminine
1040,revolution,революция,feminine
1041,agreement,соглашение,neuter
